Date,Open,High,Low,Close,Adj Close,Volume
2016-03-17,7.976020,8.176380,7.976020,8.147750,8.147750,12870
2016-03-18,8.147750,8.529380,8.138210,8.529380,8.529380,41657
2016-03-21,8.538920,8.844220,8.376730,8.710650,8.710650,26800
2016-03-22,8.853760,8.853760,8.548460,8.729740,8.729740,36613
2016-03-23,8.748820,9.674260,8.748820,9.674260,9.674260,102169
2016-03-24,9.721970,9.941400,9.311720,9.807830,9.807830,91843
2016-03-29,9.750590,9.941400,9.445290,9.922320,9.922320,34664
2016-03-30,9.941400,10.733300,9.779210,10.552000,10.552000,146093
2016-03-31,10.466100,10.685600,9.826910,10.151300,10.151300,59542
2016-04-01,10.151300,10.151300,9.464370,9.922320,9.922320,50211
2016-04-04,9.826910,9.874620,9.559780,9.693350,9.693350,37558
2016-04-05,9.683810,9.683810,9.063660,9.445290,9.445290,34494
2016-04-06,9.445290,9.731510,9.178150,9.731510,9.731510,13512
2016-04-07,9.779210,10.141800,9.445290,9.550230,9.550230,18942
2016-04-08,9.636100,9.674260,9.397580,9.559780,9.559780,19428
2016-04-11,9.464370,9.521610,9.254470,9.521610,9.521610,12068
2016-04-12,9.435750,9.569320,9.216310,9.569320,9.569320,17262
2016-04-13,9.559780,9.817380,9.483450,9.731510,9.731510,15250
2016-04-14,9.750590,9.750590,9.550230,9.674260,9.674260,11844
2016-04-15,9.540700,9.617020,9.264010,9.426210,9.426210,18165
2016-04-18,9.502530,9.502530,9.082740,9.273550,9.273550,23388
2016-04-19,9.302180,9.531150,9.178150,9.426210,9.426210,10519
2016-04-20,9.349880,9.349880,9.168610,9.330800,9.330800,8551
2016-04-21,9.349880,9.397580,9.159070,9.330800,9.330800,6570
2016-04-22,9.330800,9.330800,9.149530,9.206770,9.206770,6872
2016-04-25,9.254470,9.283100,9.101820,9.111360,9.111360,5069
2016-04-26,9.111360,9.330800,8.701110,8.949170,8.949170,35325
2016-04-27,8.882390,8.882390,8.748820,8.825140,8.825140,9199
2016-04-28,8.834680,8.834680,8.329030,8.548460,8.548460,35012
2016-04-29,8.491220,9.111360,8.252700,8.968250,8.968250,47606
2016-05-02,8.920550,9.082740,8.367190,8.672490,8.672490,15691
2016-05-03,8.653410,8.653410,8.329030,8.538920,8.538920,15698
2016-05-04,8.529380,8.529380,8.252700,8.300400,8.300400,19331
2016-05-05,8.300400,8.643870,8.252700,8.386270,8.386270,14968
2016-05-06,8.577080,9.130440,8.567540,8.806060,8.806060,39726
